subject condition sample channel value hemisphere
R1292 c1 -86 ch131 -1.928527 left
R1292 c1 -85 ch48 14.091257 left
R1292 c1 -85 ch76 6.306118 left
R1292 c1 -85 ch77 34.471523 left
R1292 c1 -85 ch79 14.568098 left
R1292 c1 -85 ch80 -5.496498 left
R1292 c1 -85 ch85 5.260736 left
R1292 c1 -85 ch88 -2.265670 left
R1292 c1 -85 ch90 20.223190 left
R1292 c1 -85 ch130 -6.003081 left
R1292 c1 -85 ch131 -1.690095 left
R1292 c1 -84 ch48 13.878979 left
R1292 c1 -84 ch76 6.523791 left
R1292 c1 -84 ch77 32.779381 left
R1292 c1 -84 ch79 15.338565 left
R1292 c1 -84 ch80 -4.114801 left
R1292 c1 -84 ch85 4.348982 left
R1292 c1 -84 ch88 -2.712566 left
R1292 c1 -84 ch90 20.441048 left
R1292 c1 -84 ch130 -6.170221 left
R1292 c1 -84 ch131 -1.504654 left
R1292 c1 -83 ch48 13.533924 left
R1292 c1 -83 ch76 6.712239 left
R1292 c1 -83 ch77 31.035334 left
R1292 c1 -83 ch79 15.984851 left
R1292 c1 -83 ch80 -2.759334 left
R1292 c1 -83 ch85 3.440078 left
R1292 c1 -83 ch88 -3.109736 left
R1292 c1 -83 ch90 20.657810 left
R1292 c1 -83 ch130 -6.287420 left
R1292 c1 -83 ch131 -1.378409 left
R1292 c1 -82 ch48 13.072241 left
R1292 c1 -82 ch76 6.870171 left
R1292 c1 -82 ch77 29.250029 left
R1292 c1 -82 ch79 16.499493 left
R1292 c1 -82 ch80 -1.442403 left
R1292 c1 -82 ch85 2.541470 left
R1292 c1 -82 ch88 -3.452140 left
R1292 c1 -82 ch90 20.874672 left
R1292 c1 -82 ch130 -6.354074 left
R1292 c1 -82 ch131 -1.316716 left
R1292 c1 -81 ch48 12.511150 left
R1292 c1 -81 ch76 6.996405 left
R1292 c1 -81 ch77 27.434092 left
R1292 c1 -81 ch79 16.876259 left
R1292 c1 -81 ch80 -0.175722 left
R1292 c1 -81 ch85 1.660346 left
R1292 c1 -81 ch88 -3.735561 left
R1292 c1 -81 ch90 21.092506 left
R1292 c1 -81 ch130 -6.370047 left
R1292 c1 -81 ch131 -1.324005 left
R1292 c1 -80 ch48 11.868673 left
R1292 c1 -80 ch76 7.089892 left
R1292 c1 -80 ch77 25.598057 left
R1292 c1 -80 ch79 17.110245 left
R1292 c1 -80 ch80 1.029718 left
R1292 c1 -80 ch85 0.803579 left
R1292 c1 -80 ch88 -3.956656 left
R1292 c1 -80 ch90 21.311722 left
R1292 c1 -80 ch130 -6.335693 left
R1292 c1 -80 ch131 -1.403696 left
R1292 c1 -79 ch48 11.163349 left
R1292 c1 -79 ch76 7.149744 left
R1292 c1 -79 ch77 23.752234 left
R1292 c1 -79 ch79 17.197929 left
R1292 c1 -79 ch80 2.163782 left
R1292 c1 -79 ch85 -0.022337 left
R1292 c1 -79 ch88 -4.113035 left
R1292 c1 -79 ch90 21.532288 left
R1292 c1 -79 ch130 -6.251835 left
R1292 c1 -79 ch131 -1.558115 left
R1292 c1 -78 ch48 10.413911 left
R1292 c1 -78 ch76 7.175253 left
R1292 c1 -78 ch77 21.906645 left
R1292 c1 -78 ch79 17.137232 left
R1292 c1 -78 ch80 3.217277 left
R1292 c1 -78 ch85 -0.811321 left
R1292 c1 -78 ch88 -4.203306 left
R1292 c1 -78 ch90 21.753586 left
R1292 c1 -78 ch130 -6.119756 left
R1292 c1 -78 ch131 -1.788435 left
R1292 c1 -77 ch48 9.639043 left
R1292 c1 -77 ch76 7.165888 left
R1292 c1 -77 ch77 20.070885 left
R1292 c1 -77 ch79 16.927576 left
R1292 c1 -77 ch80 4.182077 left
R1292 c1 -77 ch85 -1.557781 left
R1292 c1 -77 ch88 -4.227097 left
R1292 c1 -77 ch90 21.974421 left
R1292 c1 -77 ch130 -5.941184 left
R1292 c1 -77 ch131 -2.094644 left
R1292 c1 -76 ch48 8.857018 left
R1292 c1 -76 ch76 7.121329 left
R1292 c1 -76 ch77 18.254036 left
R1292 c1 -76 ch79 16.569841 left
R1292 c1 -76 ch80 5.051217 left
R1292 c1 -76 ch85 -2.256609 left
R1292 c1 -76 ch88 -4.185107 left
R1292 c1 -76 ch90 22.192957 left
R1292 c1 -76 ch130 -5.718256 left
R1292 c1 -76 ch131 -2.475498 left
R1292 c1 -75 ch48 8.085461 left
R1292 c1 -75 ch76 7.041475 left
R1292 c1 -75 ch77 16.464672 left
R1292 c1 -75 ch79 16.066442 left
R1292 c1 -75 ch80 5.818948 left
R1292 c1 -75 ch85 -2.903247 left
R1292 c1 -75 ch88 -4.079080 left
R1292 c1 -75 ch90 22.406702 left
R1292 c1 -75 ch130 -5.453466 left
R1292 c1 -75 ch131 -2.928487 left
R1292 c1 -74 ch48 7.341049 left
R1292 c1 -74 ch76 6.926442 left
R1292 c1 -74 ch77 14.710618 left
R1292 c1 -74 ch79 15.421244 left
R1292 c1 -74 ch80 6.480828 left
R1292 c1 -74 ch85 -3.493701 left
R1292 c1 -74 ch88 -3.911812 left
R1292 c1 -74 ch90 22.612476 left
R1292 c1 -74 ch130 -5.149651 left
R1292 c1 -74 ch131 -3.449879 left
R1292 c1 -73 ch48 6.639237 left
R1292 c1 -73 ch76 6.776587 left
R1292 c1 -73 ch77 12.999071 left
R1292 c1 -73 ch79 14.639570 left
R1292 c1 -73 ch80 7.033766 left
R1292 c1 -73 ch85 -4.024558 left
R1292 c1 -73 ch88 -3.687130 left
R1292 c1 -73 ch90 22.806456 left
R1292 c1 -73 ch130 -4.809922 left
R1292 c1 -73 ch131 -4.034701 left
R1292 c1 -72 ch48 5.994053 left
R1292 c1 -72 ch76 6.592519 left
R1292 c1 -72 ch77 11.336398 left
R1292 c1 -72 ch79 13.728110 left
R1292 c1 -72 ch80 7.476069 left
R1292 c1 -72 ch85 -4.493025 left
R1292 c1 -72 ch88 -3.409832 left
R1292 c1 -72 ch90 22.984148 left
R1292 c1 -72 ch130 -4.437619 left
R1292 c1 -72 ch131 -4.676782 left
R1292 c1 -71 ch48 5.417847 left
R1292 c1 -71 ch76 6.375088 left
R1292 c1 -71 ch77 9.728160 left
R1292 c1 -71 ch79 12.694869 left
R1292 c1 -71 ch80 7.807433 left
R1292 c1 -71 ch85 -4.896923 left
R1292 c1 -71 ch88 -3.085636 left
R1292 c1 -71 ch90 23.140444 left
R1292 c1 -71 ch130 -4.036242 left
R1292 c1 -71 ch131 -5.368831 left
R1292 c1 -70 ch48 4.921134 left
R1292 c1 -70 ch76 6.125389 left
R1292 c1 -70 ch77 8.179073 left
R1292 c1 -70 ch79 11.549071 left
R1292 c1 -70 ch80 8.028994 left
R1292 c1 -70 ch85 -5.234712 left
R1292 c1 -70 ch88 -2.721108 left
R1292 c1 -70 ch90 23.269676 left
R1292 c1 -70 ch130 -3.609415 left
R1292 c1 -70 ch131 -6.102472 left
R1292 c1 -69 ch48 4.512411 left
R1292 c1 -69 ch76 5.844779 left
R1292 c1 -69 ch77 6.692965 left
R1292 c1 -69 ch79 10.301061 left
R1292 c1 -69 ch80 8.143258 left
R1292 c1 -69 ch85 -5.505491 left
R1292 c1 -69 ch88 -2.323570 left
R1292 c1 -69 ch90 23.365652 left
R1292 c1 -69 ch130 -3.160812 left
R1292 c1 -69 ch131 -6.868392 left
R1292 c1 -68 ch48 4.198069 left
R1292 c1 -68 ch76 5.534842 left
R1292 c1 -68 ch77 5.272754 left
R1292 c1 -68 ch79 8.962188 left
R1292 c1 -68 ch80 8.154092 left
R1292 c1 -68 ch85 -5.709005 left
R1292 c1 -68 ch88 -1.900985 left
R1292 c1 -68 ch90 23.421764 left
R1292 c1 -68 ch130 -2.694090 left
R1292 c1 -68 ch131 -7.656387 left
R1292 c1 -67 ch48 3.982285 left
R1292 c1 -67 ch76 5.197411 left
R1292 c1 -67 ch77 3.920514 left
R1292 c1 -67 ch79 7.544624 left
R1292 c1 -67 ch80 8.066693 left
R1292 c1 -67 ch85 -5.845652 left
R1292 c1 -67 ch88 -1.461858 left
R1292 c1 -67 ch90 23.431057 left
R1292 c1 -67 ch130 -2.212867 left
R1292 c1 -67 ch131 -8.455545 left
R1292 c1 -66 ch48 3.866990 left
R1292 c1 -66 ch76 4.834558 left
R1292 c1 -66 ch77 2.637391 left
R1292 c1 -66 ch79 6.061322 left
R1292 c1 -66 ch80 7.887447 left
R1292 c1 -66 ch85 -5.916474 left
R1292 c1 -66 ch88 -1.015070 left
R1292 c1 -66 ch90 23.386345 left
R1292 c1 -66 ch130 -1.720625 left
R1292 c1 -66 ch131 -9.254365 left
R1292 c1 -65 ch48 3.851861 left
R1292 c1 -65 ch76 4.448553 left
R1292 c1 -65 ch77 1.423708 left
R1292 c1 -65 ch79 4.525779 left
R1292 c1 -65 ch80 7.623910 left
R1292 c1 -65 ch85 -5.923155 left
R1292 c1 -65 ch88 -0.569775 left
R1292 c1 -65 ch90 23.280317 left
R1292 c1 -65 ch130 -1.220706 left
R1292 c1 -65 ch131 -10.040899 left
R1292 c1 -64 ch48 3.934356 left
R1292 c1 -64 ch76 4.041876 left
R1292 c1 -64 ch77 0.278938 left
R1292 c1 -64 ch79 2.951954 left
R1292 c1 -64 ch80 7.284679 left
R1292 c1 -64 ch85 -5.868016 left
R1292 c1 -64 ch88 -0.135237 left
R1292 c1 -64 ch90 23.105658 left
R1292 c1 -64 ch130 -0.716247 left
R1292 c1 -64 ch131 -10.802959 left
R1292 c1 -63 ch48 4.109791 left
R1292 c1 -63 ch76 3.617205 left
R1292 c1 -63 ch77 -0.798210 left
R1292 c1 -63 ch79 1.354030 left
R1292 c1 -63 ch80 6.879225 left
R1292 c1 -63 ch85 -5.753980 left
R1292 c1 -63 ch88 0.279338 left
R1292 c1 -63 ch90 22.855171 left
R1292 c1 -63 ch130 -0.210149 left
